分類,職種,事業所名,都道府県,産業分類,就業場所,賃金下限,賃金上限,未経験可,運転免許必須,経験,免許資格,PCスキル,学歴,仕事内容,特記事項,出典ファイル,頁
住宅・リフォーム営業（提案営業）,住宅営業（分譲）／タマホーム米子支店／地域限定社員,タマホームカブシキガイシヤ タマホーム株式会社,鳥取,木造建築工事業,〒683-0801 鳥取県米子市新開６丁目４－３９ タマホーム米子支店,195000,441000,False,True,必要な経験・知識・技能等必須 住宅営業経験又は分譲住宅販売経験又は用地仕入経験,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,,,主な業務内容は、下記のとおりです。 ●土地仕入れ ●分譲住宅販売 ●住宅に関するご希望のヒアリング、プラン作成 ●住宅建設地の敷地調査、現地調査、役所調査 ●住宅ローンのご相談等 ＊入社後６カ月は契約社員といたします。 その後、原則として正社員登用いたします。 契約期間中の基本的な待遇は正社員と同様です。 変更範囲：変更なし 正社員以外 正社員以外の名称契約期間満了後、原則として正社員登用 正社員登用あありり 正社員登用の実績（過去３年間） ２４名登用（全国実績） 就業形態派遣・請負ではない,求人に関する特記事項 ＊転居をしない範囲で、転勤の可能性がある求人です。 ＊賃金は経験により決定します。 ＊賞与は業績により変動いたします。 ＊正社員登用の場合、定年は６５歳となります。 ＊応募書類は返送いたしません。 ＊有給休暇については入社時に前倒しで１０日付与となります。 ＜選考の流れ書類選考→面接＞ 質問がない場合、ハローワークの紹介を受ければ事前連絡がなくて も応募可能です。応募希望の方は、履歴書（写真貼付）・職務経歴 書・ハローワークの紹介状をお送り下さい。 書類到着後、１０営業日程度でご連絡いたします。 ＜モデル年収＞ 入社７年目・４０歳・全国社員年収１，０６０万円 入社４年目・３５歳・地域限定社員年収７４０万円 ※２０２０年度全職種平均年収６９３万円（前年比３８万円増） より労働条件の明示を受けてください。,2026年9月7日求人票（鳥取県住宅リフォーム）_1.pdf,29
＜業界外＞介護・看護・給食,【正社員】高齢者住宅内の調理シニアステージ中野町別館,カブシキガイシャグランエフスタイル 株式会社グランエフスタイル松江営業所,鳥取,喫茶店,〒684-0041 鳥取県境港市中野町５３１１ シニアステージ中野町別館 上道駅から車5分,180600,231200,True,False,必要な経験・知識・技能等不問,不不問問,文字入力程度,,《入居者様の健康をお食事でサポート》 調理済み食材の盛付がメインのお仕事で未経験でも安心して始めら れ、提供食数も決まっているので慌てず計画的に作業ができます。 ［主なお仕事］ ・盛付：調理済食材を温め、お料理をお皿に盛り付ける作業 ・組膳：入居者様毎のお食事トレイに、盛付けた料理を並べる作業 →メイン・小鉢・汁・ごはんをお盆に配置します。 ・配膳チェック：入居者様毎のお料理に間違いがないかチェック ・洗浄：食べ終わった食器等を洗浄機で洗浄する作業など。 ・発注業務など。 〇コミュニケーションがとりやすく、福利厚生も充実しており長く お勤めいただける環境です。変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 【トライアル雇用併用求人】＊雇用期間等：３ヶ月（同条件） 【中高年層（ミドルシニア）歓迎求人】 ＊マイカー通勤可、無料駐車場有。バイク、自転車通勤可。 ＊通勤手当は日割りでの支給になります。 ＊雇用条件に応じて各種保険に加入します。 ＊年次有給休暇は週の所定労働日数に応じて付与します。 ＊応募希望の方は、事前連絡の上、応募書類を所在地に郵送して ください。追って面接日時・場所を連絡します。 ＊Ｗワーク（兼業可） ★グループの飲食店は、社員割引き（３割）で利用できます。 ★外国人歓迎！ （日本語での指示が理解でき、ひらがな、カタカナが読める方） ＊応募前職場見学可 ＊シニア歓迎求人 子育て世代〜７０代まで幅広い年代で協力して食事提出しており、 初めての方や多くの女性スタッフが生き生きとして働いています。 扶養内で働きたい、しっかり働きたいなど働き方についても気軽に ご相談ください。 より労働条件の明示を受けてください。,2026年9月7日求人票（鳥取県住宅リフォーム）_1.pdf,30
住宅・リフォーム営業（提案営業）,住宅営業／タマホーム鳥取店,タマホームカブシキガイシヤ タマホーム株式会社,鳥取,木造建築工事業,〒680-0921 鳥取県鳥取市古海６１５番１ タマホーム鳥取店,211000,467000,False,True,必要な経験・知識・技能等あれば尚可 住宅営業経験、他業種での営業経験,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,,,モデルハウスに来場されたお客様へ、タマホームの住宅を提 案していただきます。一方的な飛び込み営業は禁止のため、 お客様と一緒にじっくりと「理想の家づくり」が可能！ 主な業務内容は、下記のとおりです。 ●住宅に関するご希望のヒアリング、プラン作成 ●住宅建設地の敷地調査、現地調査、役所調査 ●住宅ローンのご相談等 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊全国転勤ありの求人です。 ＊賃金は経験により決定します。 ＊賞与は業績により変動いたします。 ＊応募書類は返送いたしません。 ＊有給休暇については入社時に前倒しで１０日付与となります。 ＜選考の流れ書類選考→面接＞ 質問がない場合、ハローワークの紹介を受ければ事前連絡がなくて も応募可能です。応募希望の方は、履歴書（写真貼付）・職歴ある 方は職務経歴書・ハローワークの紹介状をお送り下さい。 書類到着後、１０営業日程度でご連絡いたします。 より労働条件の明示を受けてください。,2026年9月7日求人票（鳥取県住宅リフォーム）_1.pdf,31
住宅・リフォーム営業（提案営業）,住宅営業／タマホーム鳥取店／エリア限定社員,タマホームカブシキガイシヤ タマホーム株式会社,鳥取,木造建築工事業,〒680-0921 鳥取県鳥取市古海６１５番１ タマホーム鳥取店,197000,454000,False,True,必要な経験・知識・技能等あれば尚可 住宅営業経験、他業種での営業経験,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,,,モデルハウスに来場されたお客様へ、タマホームの住宅を提 案していただきます。一方的な飛び込み営業は禁止のため、 お客様と一緒にじっくりと「理想の家づくり」が可能！ 主な業務内容は、下記のとおりです。 ●住宅に関するご希望のヒアリング、プラン作成 ●住宅建設地の敷地調査、現地調査、役所調査 ●住宅ローンのご相談等 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊下記エリア内で転勤の可能性がある求人です。 中国エリア：鳥取県、島根県、岡山県、広島県、山口県 ＊賃金は経験により決定します。 ＊賞与は業績により変動いたします。 ＊応募書類は返送いたしません。 ＊有給休暇については入社時に前倒しで１０日付与となります。 ＜選考の流れ書類選考→面接＞ 質問がない場合、ハローワークの紹介を受ければ事前連絡がなくて も応募可能です。応募希望の方は、履歴書（写真貼付）・職歴があ る方は職務経歴書・ハローワークの紹介状をお送り下さい。 書類到着後、１０営業日程度でご連絡いたします。 より労働条件の明示を受けてください。,2026年9月7日求人票（鳥取県住宅リフォーム）_1.pdf,32
住宅・リフォーム営業（提案営業）,住宅営業／タマホーム鳥取店／地域限定社員,タマホームカブシキガイシヤ タマホーム株式会社,鳥取,木造建築工事業,〒680-0921 鳥取県鳥取市古海６１５番１ タマホーム鳥取店,195000,441000,False,True,必要な経験・知識・技能等あれば尚可 住宅営業経験、他業種での営業経験,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,,,モデルハウスに来場されたお客様へ、タマホームの住宅を提 案していただきます。一方的な飛び込み営業は禁止のため、 お客様と一緒にじっくりと「理想の家づくり」が可能！ 主な業務内容は、下記のとおりです。 ●住宅に関するご希望のヒアリング、プラン作成 ●住宅建設地の敷地調査、現地調査、役所調査 ●住宅ローンのご相談等 来場時のご案内から契約〜引渡しまでの業務に携わります。 未経験の場合は先輩社員がサポートします。 もちろん経験者・有資格者は大歓迎です！ 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊転居をしない範囲で、転勤の可能性がある求人です。 ＊賃金は経験により決定します。 ＊賞与は業績により変動いたします。 ＊応募書類は返送いたしません。 ＊有給休暇については入社時に前倒しで１０日付与となります。 ＜選考の流れ書類選考→面接＞ 質問がない場合、ハローワークの紹介を受ければ事前連絡がなくて も応募可能です。応募希望の方は、履歴書（写真貼付）・職歴があ る方は職務経歴書・ハローワークの紹介状をお送り下さい。 書類到着後、１０営業日程度でご連絡いたします。 より労働条件の明示を受けてください。,2026年9月7日求人票（鳥取県住宅リフォーム）_1.pdf,33
＜業界外＞介護・看護・給食,【正社員】高齢者住宅内の調理シニアステージ浜ノ町,カブシキガイシャグランエフスタイル 株式会社グランエフスタイル松江営業所,鳥取,喫茶店,〒684-0003 鳥取県境港市浜ノ町６２－１ シニアステージ浜ノ町 境港駅から車3分,180600,231200,True,False,必要な経験・知識・技能等不問,不不問問,文字入力程度,,《入居者様の健康をお食事でサポート》 調理済み食材の盛付がメインのお仕事で未経験でも安心して始めら れ、提供食数も決まっているので慌てず計画的に作業ができます。 ［主なお仕事］ ・盛付：調理済食材を温め、お料理をお皿に盛り付ける作業 ・組膳：入居者様毎のお食事トレイに、盛付けた料理を並べる作業 →メイン・小鉢・汁・ごはんをお盆に配置します。 ・配膳チェック：入居者様毎のお料理に間違いがないかチェック ・洗浄：食べ終わった食器等を洗浄機で洗浄する作業など。 ・発注業務など。 〇コミュニケーションがとりやすく、福利厚生も充実しており長く お勤めいただける環境です。変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 【トライアル雇用併用求人】＊雇用期間等：３ヶ月（同条件） 【中高年層（ミドルシニア）歓迎求人】 ＊マイカー通勤可、無料駐車場有。バイク、自転車通勤可。 ＊通勤手当は日割りでの支給になります。 ＊応募希望の方は、事前連絡の上、応募書類を所在地に郵送して ください。追って面接日時・場所を連絡します。 ＊Ｗワーク（兼業可） ★グループの飲食店は、社員割引き（３割）で利用できます。 ★外国人歓迎！ （日本語での指示が理解でき、ひらがな、カタカナが読める方） ＊応募前職場見学可 ＊シニア歓迎求人 子育て世代〜７０代まで幅広い年代で協力して食事提出しており、 初めての方や多くの女性スタッフが生き生きとして働いています。 扶養内で働きたい、しっかり働きたいなど働き方についても気軽に ご相談ください。 より労働条件の明示を受けてください。,2026年9月7日求人票（鳥取県住宅リフォーム）_1.pdf,34
設計・ＣＡＤオペレーター,【急募】住宅の設計,コトブキホームズカブシキガイシャ 寿ホームズ株式会社,鳥取,木造建築工事業,〒682-0816 本社（鳥取県倉吉市駄経寺町２－３８－３）または 鳥取店（鳥取市南隈６３３）のいずれか,230000,300000,False,True,必要な経験・知識・技能等あれば尚可 住宅の設計,二級建築士必須 一級建築士あれば尚可 普通自動車運転免許必須 （AT限定可）,エクセル・ワード,,○主に住宅の新築・リフォーム業務における間取りの提案及び詳細 設計、現地調査、顧客との打ち合わせなどを行います。 【変更範囲：変更なし】 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊賞与欄の賞与月数は、採用初年度の支給見込み月数を記載して おります。 より労働条件の明示を受けてください。,2026年9月7日求人票（鳥取県住宅リフォーム）_1.pdf,35
施工管理・現場監督（工務）,住まいのリフォームお客様担当、現場管理者【経験者】,カブシキカイシャマツモトコウムテン 株式会社マツモト工務店,鳥取,管工事業（さく井工事業を,〒680-0911 鳥取県鳥取市千代水３丁目５９番地 山陰本線湖山駅から徒歩20分,253125,337500,False,True,必要な経験・知識・技能等あれば尚可 ＊施工管理等の経験者＊建築・設備関連の有資格者,２級建築施工管理技士あれば尚可 １級建築施工管理技士あれば尚可 建築士（１級または２級）あれば尚可 普通自動車運転免許必須 （AT限定可）,建築ＣＡＤが使えること,,○住まいの新築・リフォーム工事の設計・現場管理 ・リフォームをご依頼のお客様のご要望の聞き取り、現場調査、 プレゼン資料作成・見積書の作成、プレゼン、契約 ・予算書、工程表、注文書作成 ・工事段取り、現場管理、引き渡し、アフター管理 ※鳥取東部エリアが中心です。 ＊変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 お客様の笑顔を見続けて、信頼を誇りに 「いつも一生懸命！」の仕事を提供する人材を求めます。 ＊駐車場あり：無料 ＊正社員登用後：定年制あり６０歳、再雇用制度あり６５歳まで ＊育児・介護等でパート勤務希望の方は相談に応じます。 ＊６０歳以上の方は１年毎の契約社員で採用可能です。 ★ハローワークからのお願い→期限内であっても求人が 取下げされる場合もあります。早めにご相談ください。 より労働条件の明示を受けてください。,2026年9月7日求人票（鳥取県住宅リフォーム）_1.pdf,36
建材・住宅設備の法人／ルート営業,工事部・住宅部のスタッフ,ホンジヨウガラスケンザイシヨウジカブシキガイシヤ 本城硝子建材商事株式会社,鳥取,建築材料卸売業,〒689-3541 鳥取県米子市二本木６６２－１ 伯耆大山駅から徒歩5分,230000,230000,True,True,必要な経験・知識・技能等不問,普通自動車運転免許必須 （AT限定可）,,,〇工事部スタッフ 主にビル、学校などの新築、リフォーム時に関わる建築資材の営業 および取り付け業務 ・既存取引先からのニーズの取得 ・見積書の作成 ・工事に向けた調整業務 ・現地調査、提案資料の作成 〇住宅部スタッフ 一般住宅の建築材料の販売および山陰各地のサッシ店、ガラス店へ のコース営業（取り次ぎ） ＊業務には社用車（普通車）を使用。 ＊変更範囲：会社の定める業務 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊資格は入社後取得可 ＊業務用スマートフォンは会社から貸与 ＊通勤手当については距離に応じて支給（社内規定による） ＊駐車場：有（無料） 〇未経験の方でも安心して就業いただけます。 入社後はすぐに全ての業務をお任せするわけではありません。 ベテラン社員が多数おり、先輩社員のサポートを受けながら、 できることを増やしていくことができます。 より労働条件の明示を受けてください。,2026年9月7日求人票（鳥取県住宅リフォーム）_2.pdf,12
施工技能職（大工・内外装・基礎・足場ほか）,鍛冶工（溶接、金属加工、鉄骨組立加工）、住宅解体,カブシキガイシャニシムラケンコウ 株式会社西村建工,鳥取,その他の設備工事業,〒683-0832 鳥取県米子市立町４丁目１７９番地,220000,380000,True,False,必要な経験・知識・技能等不問,不不問問,,,弊社は、建設業をメインとし、職種は解体業と鍛冶工事業を行って おります。 ・解体工事 木造、鉄骨造住宅の解体工事に従事し、内装撤去、廃材の分別、搬 出、重機作業といった内容となります。 ・鍛冶工事 鉄骨の切断、加工、溶接作業などの鍛冶工事を行っております。 （↑こちらの作業はある程度の経験を要するため、まずは運搬業務 、火元の監視業務等の軽作業から始めてもらっておりますので、未 経験大歓迎です。） ［変更範囲：変更なし］ 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊中国地方など他県への出張の可能性もありますが、本人の主張、 意思を尊重します。 ＊松江市（他県）での鍛冶工勤務の場合は希望であれば寮を用意 します。 ＊基本的に日給月給制ですが、希望、事情、環境等に応じて、 相談の上で決定します。 より労働条件の明示を受けてください。,2026年9月7日求人票（鳥取県住宅リフォーム）_2.pdf,13
住宅・リフォーム営業（提案営業）,住宅営業員（米子支店）,カブシキガイシャヒラギノ 株式会社ひらぎの,鳥取,木造建築工事業,〒683-0853 鳥取県米子市両三柳２９００－１１ 株式会社ひらぎの米子支店 米子駅から車10分,260000,466900,True,True,必要な経験・知識・技能等不問,宅地建物取引士証を有している方は賃金条件優遇します 普通自動車運転免許必須 （AT限定可）,ワード、エクセルの基本操作,,住まいづくりの第一歩をサポートする住宅営業のお仕事です。 具体的には、 ・展示場やモデルハウスへご来場されたお客様のご案内 ・土地探しや資金計画のご提案 ・間取りや住宅プランのご提案 ・お見積り作成やご契約手続き ・ベントや完成見学会での接客対応など 頑張りが成果としてしっかり評価されます！ 飛び込み営業はありません。「ひらぎの」の家に興味を 持ってくださった方への反響営業がメインです。 仕事内容の変更範囲：会社の定める業務 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 営業活動は基本的にマイカーを使用していただきます。 営業エリア：松江・安来〜米子方面 ☆専門的な知識は必要ありません。お客様とお話しすることが好き な方が向いています。 ☆行動力のある方、お客様のご要望にすぐに対応できる方、お客様 のことが気になる方 駐車場：完全無料 ◆シニア歓迎求人 応募前でも質問などお気軽にハローワークを通じてお問い合わせく ださい。 ＊応募希望の方は、ハローワークの紹介状・履歴書・職務経歴書を 事業所宛てに送付ください。 書類選考後、面接日等を連絡します。 より労働条件の明示を受けてください。,2026年9月7日求人票（鳥取県住宅リフォーム）_2.pdf,14
住宅・リフォーム営業（提案営業）,住宅営業員（鳥取支店）,カブシキガイシャヒラギノ 株式会社ひらぎの,鳥取,木造建築工事業,〒680-0903 鳥取県鳥取市南隈８８２ 株式会社ひらぎの鳥取支店 鳥取駅から車15分,260000,466900,True,True,必要な経験・知識・技能等不問,宅地建物取引士証を有している方は賃金条件優遇します 普通自動車運転免許必須 （AT限定可）,ワード、エクセルの基本操作,,住まいづくりの第一歩をサポートする住宅営業のお仕事です。 具体的には、 ・展示場やモデルハウスへご来場されたお客様のご案内 ・土地探しや資金計画のご提案 ・間取りや住宅プランのご提案 ・お見積り作成やご契約手続き ・ベントや完成見学会での接客対応など 頑張りが成果としてしっかり評価されます！ 経験者はもちろん、これまでの営業経験や接客経験を 活かしたい方も歓迎します。 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 営業活動は基本的にマイカーを使用していただきます。 営業エリア：松江・安来〜米子方面 ☆専門的な知識は必要ありません。お客様とお話しすることが好き な方が向いています。 ☆行動力のある方、お客様のご要望にすぐに対応できる方、お客様 のことが気になる方 仕事内容の変更範囲：会社の定める業務 駐車場：完全無料 ◆シニア歓迎求人 応募前でも質問などお気軽にハローワークを通じてお問い合わせく ださい。 ＊応募希望の方は、ハローワークの紹介状・履歴書・職務経歴書を 事業所宛てに送付ください。 書類選考後、面接日等を連絡します。 より労働条件の明示を受けてください。,2026年9月7日求人票（鳥取県住宅リフォーム）_2.pdf,15
設備工事（配管・電気・住宅設備）,新築・リフォーム・住宅設備の配管工（経験者採用／日野郡）,ヒロシマガスジュウセツカブシキガイシャ 広島ガス住設株式会社,鳥取,燃料小売業,〒689-4511 鳥取県日野郡日野町高尾４１１－１４ 広島ガス住設根雨営業所,230990,271850,False,True,必要な経験・知識・技能等必須 給排水設備工事経験３年以上,普通自動車運転免許必須 （AT限定不可）,,,鳥取県日野郡を中心に、給排水衛生設備工事をお任せします。 幅広く経験を積める現場責任者のポジションです。 ・給排水、ＬＰガスの配管工事 ・住宅設備の取付工事 ・案件に関わる各種書類の作成 ・未経験の設備配管工の育成など ■工事現場の割合など ・個人宅、飲食店など：８割 ・学校やスーパーなどの大型施設：２割 ・件数：１日に２〜３件程度（１〜３名体制） 変更範囲：会社の定める範囲 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ■更なる技術習得を支える教育体制 ・入社時のスキルや知識に応じて、住宅や大型施設などの給排水衛 生設備工事をお任せします。 ・将来の現場責任者候補として、幅広い知識や技術を習得できる環 境をご提供いたします。 ・教育係の一員として部下の人材育成もお任せする予定です。 ・メーカー主催の勉強会やＬＰガスの保安講習会などの教育制度も 整っています。 ・資格取得支援制度もあり、未経験から手に職をつけることが可能 です！ ■職場環境 ・休みは週休２日制（土・日）・祝日に加え、残業は月平均１０ｈ と少なめです。 ・夏季・年末年始休暇以外にも長期休暇の取得が可能です。 ・等級ごとの業務分担が明確で、一つひとつ着実に覚えられる環境 です。 ・半期に１回、仕事への姿勢を正当に評価し、期末に処遇を決定し ます。 より労働条件の明示を受けてください。,2026年9月7日求人票（鳥取県住宅リフォーム）_2.pdf,16
住宅・リフォーム営業（提案営業）,営業（船橋市）,カブシキガイシャウォースペイント 株式会社ウォースぺイント,千葉,塗装工事業,〒274-0072 千葉県船橋市三山６丁目４５－４ 株式会社ウォースペイント船橋支店 京成電鉄本線実籾駅から車8分,250000,250000,True,False,必要な経験・知識・技能等不問,不不問問,,,◎一般住宅の塗装（外壁・屋根の塗替え）を中心とした リフォーム営業 営業活動エリア：船橋市等 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊応募の方は、事前連絡の上、面接日を確認して下さい。 面接日当日、応募書類を持参願います。 【事業主・求職者の皆様へ】 労働条件通知書や労働契約書等の書面により採用後の労働条件を 必ず確認しましょう。 より労働条件の明示を受けてください。,住宅＆リフォーム（千葉県）_1）.pdf,1
施工技能職（大工・内外装・基礎・足場ほか）,大工,カブシキガイシャセイミヤ 株式会社ＳＥＩМＩＹＡ,千葉,その他の職別工事業,〒278-0014 千葉県野田市下三ケ尾３４９—５ 東武野田線運河駅から車5分,230000,350000,False,True,必要な経験・知識・技能等あれば尚可 リフォーム工事、キッチン組立、家具造作,第二種電気工事士あれば尚可 普通自動車運転免許必須 （AT限定可）,,,住宅・店舗のリフォームや、キッチン、洗面化粧台の施工、オーダ ーメイド家具の製造。 変更範囲：なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊＊ より労働条件の明示を受けてください。,住宅＆リフォーム（千葉県）_1）.pdf,2
施工技能職（大工・内外装・基礎・足場ほか）,（ト）現場作業員,ユウゲンガイシャダイコクケンソウ 有限会社大黒建装,千葉,建築リフォーム工事業,〒273-0115 千葉県鎌ケ谷市東道野辺７－２２－７８松宮ビル３Ｆ 東武野田線馬込沢駅から徒歩1分,200000,350000,True,True,必要な経験・知識・技能等不問,有期溶剤作業責任者あれば尚可 普通自動車運転免許必須 （AT限定可）,,,工事現場にて塗装作業やリフォーム作業に従事して頂きます ＊屋根・外壁の塗装、内装リフォーム ＊住宅のリフォーム ★トライアル雇用併用求人の為、応募の場合はハローワークでの職 業相談が必要です。 〔変更範囲：変更なし〕 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 マイカー通勤可／駐車場無料 ☆トライアル雇用対象者の選考は面接からになります。 ☆〈トライアル雇用期間中の求人条件〉試用期間と同じ ☆〈常用雇用移行要件〉 ・基本作業を１人で行えること ・顧客及び社員とのコミュニケーションがとれること ※事前連絡の上、履歴書（写真貼付）、職務経歴書、紹介状をご郵 送願います。書類到達後、７日以内で書類選考の結果及び面接日 程についてご連絡します。 より労働条件の明示を受けてください。,住宅＆リフォーム（千葉県）_1）.pdf,3
施工管理・現場監督（工務）,施工管理者,ユウゲンガイシャダイコクケンソウ 有限会社大黒建装,千葉,建築リフォーム工事業,〒273-0115 千葉県鎌ケ谷市東道野辺７－２２－７８松宮ビル３Ｆ 東武野田線馬込沢駅から徒歩1分,216000,324000,True,True,必要な経験・知識・技能等不問,一級建築士必須 １級建築施工管理技士必須 １級土木施工管理技士必須 どちらの資格も有している方は優遇します いずれかの免許・資格所持で可 普通自動車運転免許必須 （AT限定可）,,,住宅やビルの塗装工事やリフォーム工事の施工管理をしていただき ます。現地調査・見積もり作成や、行程・品質・安全等の施工管理 を行っていただきます。 〔変更範囲：変更なし〕 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ※賃金締切日は毎月２０日、支払日は当月末となります。 より労働条件の明示を受けてください。,住宅＆リフォーム（千葉県）_1）.pdf,4
施工技能職（大工・内外装・基礎・足場ほか）,内装工事スタッフ（リフォーム工事）,カブシキガイシャリードソリューション 株式会社リードソリューション,千葉,自動車小売業,〒270-2223 千葉県松戸市秋山４７４－５ 北総線秋山駅から徒歩12分,220000,250000,True,False,必要な経験・知識・技能等不問,不不問問,,,自社で保有する中古戸建住宅の内装工事 （リノベーション・リフォーム）を企画から完成まで 一貫してプロデュースしていただきます。 担当物件に入居が決まればインセンティブとしてしっかり還元しま す！ 【主な業務内容】 ＊企画・デザイン：間取りや内装のデザインなど ＊現場作業：材料の選定やクロスの張替えなど ＊賃貸に出すための準備：写真撮影や紹介文の作成など 大きな組織ではないからこそ、裁量が大きいのが特徴です。 未経験でも構いません。 「変更の範囲：変更なし」 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 【求める人材】 ＊未経験歓迎 ＊ＤＩＹやインテリア、家づくりに興味がある方 ＊自分のアイデアを形にしたい方 【アピールポイント】 会社から細かい指示を出すのではなく、ある程度「個人の裁量」に お任せします。 自由度の高い環境で、あなたのセンスを形にしませんか？ ワクワク感がある仕事です。 インセンティブ＆賞与支給有り より労働条件の明示を受けてください。,住宅＆リフォーム（千葉県）_1）.pdf,5
メンテナンス・アフターサービス・点検,リフォームアフターサポート（未経験ＯＫ／柏市）,グランディリフォームカブシキガイシャ グランディリフォーム株式会社,千葉,建築リフォーム工事業,〒277-0855 千葉県柏市南柏１丁目１４番５号 グランディリフォーム株式会社千葉柏営業所,255000,270000,True,True,必要な経験・知識・技能等不問,普通自動車運転免許必須 （AT限定可）,,,・リフォームアフターメンテナンス（未経験ＯＫ） ・オーナー様のお住まいの点検や簡単な対応業務 ・お客様対応あり／住宅やリフォームに興味のある方歓迎 【具体的には】 ・リフォーム後のお住まいの定期点検 ・お客様からのご相談内容の確認、簡単な対応 ・必要に応じて社内や協力業者への連絡 ・点検内容の記録や報告書作成 【変更範囲：変更なし】 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ・日曜が固定休日＋週１日火水土のいずれかが休める完全週休 ２日制のため自分や家族の時間を大切にしながら働けます。 ・お客様はグループ企業のグランディハウスで住宅を購入された 方がメインになります。メンテナンスや修繕を必要とする方の サポートを行っていただくお仕事です。 【特記事項】 ・社有車、ガソリンカード、携帯電話を貸与します。 通勤および業務は社有車を使用していただきます。 ・基本給にはライフプラン給を含んでおり、 任意で確定拠出年金へ拠出することも可能です。 ・転居を伴う転勤は原則ありません。 ただし将来的に配置転換により当社拠点間で転勤の可能性が あります。 ・従来の夏季賞与を月額給与へ組み込み、年収水準を維持しつつ、 毎月安定した収入を得られる給与体系としています。 より労働条件の明示を受けてください。,住宅＆リフォーム（千葉県）_1）.pdf,6
